,counts_id,Group,rep
sample_0001,0h,low0,1
sample_0002,1.8h,low0,1
sample_0003,1.8h,low0,1
sample_0004,1.8h,low0,1
sample_0005,1.8h,low0,1
sample_0006,1.8h,low0,1
sample_0009,1.8h,low0,1
sample_0079,3.6h,low0,1
sample_0085,3.6h,low0,1
sample_0108,3.6h,low0,1
sample_0007,9.1h,high1,1
sample_0008,10.9h,high1,1
sample_0010,10.9h,high1,1
sample_0094,12.7h,high1,1
sample_0120,12.7h,high1,1
sample_0012,14.5h,high1,1
sample_0013,14.5h,high1,1
sample_0106,14.5h,high1,1
sample_0104,21.8h,low1,1
sample_0109,29.0h,high2,1
sample_0110,29.0h,high2,1
sample_0112,29.0h,high2,1
sample_0087,30.9h,high2,1
sample_0088,30.9h,high2,1
sample_0111,30.9h,high2,1
sample_0091,32.7h,high2,1
sample_0113,32.7h,high2,1
sample_0119,41.7h,low2,1
sample_0121,43.6h,low2,1
sample_0123,43.6h,low2,1
sample_0124,43.6h,low2,1
sample_0125,43.6h,low2,1
sample_0126,43.6h,low2,1
sample_0027,52.6h,low2,1
sample_0053,72.6h,high3,1
sample_0056,74.4h,high3,1
sample_0057,79.9h,high3,1
sample_0066,87.1h,low3,1
sample_0067,87.1h,low3,1
sample_0068,87.1h,low3,1
sample_0022,94.4h,low3,1
sample_0023,96.2h,low3,1
